LAJI;pohj_etrs;ita_etrs;VAKAV_A;VV
MA;6671858.202;25493434.53;1;2010
MA;6681468.937;25500666.56;1;2010
MA;6672708.693;25497857.86;1;2010
MA;6674957.85;25496390.74;2;2010
MA;6680206.808;25492538.1;1;2010
MA;6677335.196;25503677.92;1;2010
MA;6671479.451;25497283.67;1;2010
MA;6681397.267;25508337.26;1;2010
MA;6681278.513;25502208.42;1;2010
MA;6672759.916;25495617.75;1;2010
MA;6671844.732;25497515.78;1;2010
MA;6673033.61;25495898.66;1;2010
MA;6673739.897;25497642.5;1;2010
MA;6678634.918;25495779.96;1;2010
MA;6682034.969;25500522.3;1;2010
MA;6677885.587;25493276.92;1;2010
MA;6683535.177;25500724.99;1;2010
JK;6675014.438;25497961.13;1;2010
MA;6674879.247;25499972.64;2;2010
MA;6678941.124;25504429.82;1;2010
MA;6680407.29;25504532.48;1;2010
MA;6671933.203;25497033.76;1;2010
MA;6673105.528;25496488.89;1;2010
MA;6679020.387;25500969.94;1;2010
MA;6674230.125;25497407.49;1;2010
MA;6682159.672;25504503.38;1;2010
MA;6678460.826;25504596.49;2;2010
MA;6674978.612;25502030.1;1;2010
MA;6675407.265;25497087.62;1;2010
MA;6681330.259;25497643.62;1;2010
MA;6685252.364;25500591.86;2;2010
MA;6677746.542;25504538.08;1;2010
MA;6674105.849;25497368.22;1;2010
MA;6676386.566;25506618.77;1;2010
MA;6680638.09;25504256.29;1;2010
MA;6679814.392;25502932.29;1;2010
MA;6674580.719;25496791.44;1;2010
MA;6674759.92;25497289.37;1;2010
MA;6679634.442;25494288.65;1;2010
MA;6676350.695;25493414.5;1;2010
MA;6678126.855;25503185.59;2;2010
MA;6676555.534;25502452.65;1;2010
MA;6677758.933;25504550.71;2;2010
MA;6683404.288;25497233.49;1;2010
MA;6677398.397;25493876.09;1;2010
MA;6678670.07;25492548.66;1;2010
MA;6677731.173;25494356.35;1;2010
MA;6675385.335;25494877.75;1;2010
MA;6675236.12;25497119.83;1;2010
MA;6681334.97;25494399.21;1;2010
MA;6679467.926;25496850.48;1;2010
MA;6679406.738;25498166.26;1;2010
MA;6678526.958;25493406.59;1;2010
MA;6679456.387;25497361.19;1;2010
MA;6675230.854;25495327.74;1;2010
MA;6682026.454;25490801.79;1;2010
MA;6675047.459;25498753.69;1;2010
MA;6680581.843;25495006.45;1;2010
MA;6680475.806;25494974.64;1;2010
MA;6678884.661;25497119.34;1;2010
MA;6676519.686;25493179.22;1;2010
MA;6675627.329;25501939.39;1;2010
MA;6680161.304;25498134.38;1;2010
MA;6680173.26;25494336.36;1;2010
MA;6683147.206;25502880.29;1;2010
MA;6676113.718;25493288.59;1;2010
MA;6672543.223;25496987.26;1;2010
MA;6677859.278;25504658.75;1;2010
MA;6675378.186;25494872.96;1;2010
MA;6672202.677;25492715.61;1;2010
MA;6674729.177;25495349.94;1;2010
MA;6678242.747;25493108.99;1;2010
MA;6679618.262;25494217.09;1;2010
MA;6681641.578;25499264.33;1;2010
MA;6672170.627;25495126.25;1;2010
MA;6674184.317;25497447.9;1;2010
MA;6672780.949;25498029.8;1;2010
MA;6675090.006;25495501.12;1;2010
MA;6673676.666;25497834.55;2;2010
MA;6681056.517;25496668.23;2;2010
MA;6675403.941;25505300.57;1;2010
MA;6672069.883;25495995.9;1;2010
MA;6674803.586;25494965.42;1;2010
JK;6681851.976;25500460.81;2;2010
MA;6673066.601;25496161.84;1;2010
JK;6677499.317;25504338.42;2;2010
MA;6672531.525;25497294.83;1;2010
MA;6674902.555;25497670.31;1;2010
MA;6675078.517;25497334.75;1;2010
MA;6673276.983;25495542.04;1;2010
MA;6672387.06;25495565;1;2010
MA;6672747.816;25496803.94;1;2010
MA;6679818.521;25497390.24;1;2010
MA;6677283.212;25494235.83;1;2010
MA;6683036.35;25511567.98;1;2010
MA;6677858.278;25504658.78;1;2010
MA;6674777.737;25496622.36;1;2010
MA;6674987.293;25497824.86;1;2010
MA;6675547.384;25497814.89;1;2010
MA;6672532.196;25496887.53;1;2010
MA;6672301.226;25495968.88;1;2010
MA;6676676.868;25498035.84;1;2010
MA;6677933.627;25504767.58;1;2010
MA;6676980.52;25493229.3;1;2010
MA;6682030.863;25491772.32;1;2010
MA;6674632.532;25495330.86;2;2010
MA;6677338.563;25494015;1;2010
MA;6680004.928;25493735.05;1;2010
MA;6677285.553;25496987.68;1;2010
MA;6677113.885;25493403.38;1;2010
MA;6672432.685;25495584.63;1;2010
MA;6679553.208;25503625.7;2;2010
MA;6681212.653;25491420.87;1;2010
MA;6672743.897;25497896.83;1;2010
MA;6680875.672;25501133.86;1;2010
MA;6681745.389;25500245.88;1;2010
MA;6682694.852;25499908.88;2;2010
MA;6674639.762;25497782.35;1;2010
MA;6675381.124;25495035.98;1;2010
MA;6674762.557;25496881;1;2010
MA;6680169.251;25496184.77;2;2010
MA;6672730.256;25495629.66;1;2010
MA;6672780.531;25497322.32;1;2010
MA;6675577.775;25496175.82;1;2010
MA;6675890.099;25497467.27;1;2010
MA;6674598.112;25496209.51;1;2010
MA;6675370.91;25496812.53;1;2010
MA;6683841.182;25499628.94;1;2010
MA;6675608.768;25496373.02;1;2010
MA;6677280.584;25496988.83;1;2010
MA;6675488.429;25496992.1;1;2010
MA;6675653.304;25496125.5;1;2010
MA;6671693.653;25496723.8;1;2010
MA;6680415.114;25491652.18;1;2010
MA;6672397.758;25492152.32;1;2010
MA;6672441.166;25495831.55;1;2010
MA;6671654.787;25496431.77;1;2010
MA;6675719.711;25497590.52;2;2010
MA;6683704.015;25501969.77;2;2010
MA;6676383.386;25496969.98;1;2010
MA;6681323.41;25497582.79;2;2010
MA;6675229.819;25497110.01;1;2010
MA;6674053.385;25495768.7;1;2010
MA;6672706.603;25497854.93;1;2010
MA;6681499.128;25508495.29;1;2010
MA;6683499.555;25499550.24;1;2010
MA;6676984.823;25493239.18;1;2010
